year,state,median_sale_price,homes_sold,population,migration_total,pop_change
2018,New York,468638,557292,19329704,254447,-309219
2018,North Carolina,210432,489518,10274540,318681,115984
2018,Ohio,140923,569056,11555163,198026,35054
2018,Oklahoma,137543,166868,3895983,106943,20061
2018,Oregon,331903,244144,4152756,140627,50708
2018,Pennsylvania,191737,498246,12674699,253520,57
2018,Rhode Island,256152,59870,1047975,32841,-574
2018,South Carolina,222907,238930,5029034,186505,62823
2018,South Dakota,181625,18368,871271,26775,14545
2018,Tennessee,211355,335416,6692936,209377,50864
2018,Texas,235090,1148612,28333482,563945,408850
2018,Utah,303907,185540,3114717,100824,58524
2018,Vermont,222308,33784,621681,26306,2592
2018,Virginia,290720,468936,8424340,274003,51818
2018,Washington,424445,466658,7453439,260906,134628
2018,West Virginia,171163,17108,1787630,43841,-10676
2018,Wisconsin,176545,310188,5751525,114613,19976
2019,Alabama,214540,167382,4849509,104780,17151
2019,Alaska,283081,29382,722063,34031,-5101
2019,Arizona,250167,490836,7200620,253295,110483
2019,Arkansas,166135,116740,2989054,59723,13093
2019,California,604788,1459302,39084048,480204,-30841
2019,Colorado,458447,328552,5701658,240600,68629
2019,Connecticut,277469,192634,3531986,90044,-6217
2019,Delaware,187970,38890,964817,38014,6047
2019,Florida,241545,1626508,21269409,601611,176532
2019,Georgia,236160,579972,10499808,284541,89346
2019,Hawaii,597385,62540,1396819,49708,-6834
2019,Idaho,292367,115918,1764327,78730,29571
2019,Illinois,223077,594194,12536539,190627,-62705
2019,Indiana,162635,217412,6656971,151443,44023
2019,Iowa,186985,59010,3121385,72651,2079
2019,Kansas,185835,99832,2879518,94648,5310
2019,Kentucky,169502,148276,4421512,100057,6798
2019,Louisiana,205987,129784,4595111,67640,-7970
2019,Maine,253061,80830,1331656,36129,7561
2019,Maryland,258975,342208,5979602,141766,5081
2019,Massachusetts,431048,336238,6828110,144079,-6254
2019,Michigan,160290,502472,9880758,132008,-10325
2019,Minnesota,246608,321898,5575235,106920,31745
2019,Mississippi,155532,59752,2943737,61683,-11980
2019,Missouri,161907,258560,6069697,152345,16588
2019,Nebraska,189583,74716,1910711,46064,4868
2019,Nevada,268148,212090,3048602,132950,44841
2019,New Hampshire,256213,93948,1350155,50288,5405
2019,New Jersey,308863,488140,8791672,149260,-24132
2019,New Mexico,362631,11876,2073628,55545,1082
2019,New York,478238,556608,19240920,254806,-88784
2019,North Carolina,225187,517072,10371906,315215,97366
2019,Ohio,151435,577944,11556037,205542,874
2019,Oklahoma,144953,173730,3907258,101844,11275
2019,Oregon,347723,240474,4178578,129921,25822
2019,Pennsylvania,199368,500094,12670245,267465,-4454
2019,Rhode Island,275020,61432,1050602,34984,2627
2019,South Carolina,239200,251794,5092727,176008,63693
2019,South Dakota,192698,17952,872708,26934,1437
2019,Tennessee,224093,346024,6754461,196765,61525
2019,Texas,244233,1208616,28642658,559661,309176
2019,Utah,334293,190860,3162102,95608,47385
2019,Vermont,237722,35882,617560,21212,-4121
2019,Virginia,297558,498580,8439982,264855,15642
2019,Washington,434012,462046,7527366,231956,73927
2019,West Virginia,181919,18280,1773280,39548,-14350
2019,Wisconsin,187022,307696,5760481,107973,8956
