current_state,year,population,from_different_state_Total
Wyoming,2016-01-01,577567,26471
Puerto Rico,2016-01-01,3384760,21196
Alabama,2017-01-01,4819343,111803
Alaska,2017-01-01,730874,30199
Arizona,2017-01-01,6935358,261727
Arkansas,2017-01-01,2968395,79411
California,2017-01-01,39085984,523131
Colorado,2017-01-01,5542282,226933
Connecticut,2017-01-01,3556297,83325
Delaware,2017-01-01,952449,38532
District of Columbia ,2017-01-01,684810,56231
Florida,2017-01-01,20772371,566476
Georgia,2017-01-01,10299497,278889
Hawaii,2017-01-01,1410750,46457
Idaho,2017-01-01,1694182,71899
Illinois,2017-01-01,12659328,195092
Indiana,2017-01-01,6591598,142290
Iowa,2017-01-01,3106880,77072
Kansas,2017-01-01,2876925,86154
Kentucky,2017-01-01,4404279,103985
Louisiana,2017-01-01,4629962,72836
Maine,2017-01-01,1322591,34252
Maryland,2017-01-01,5988007,165654
Massachusetts,2017-01-01,6789798,146299
Michigan,2017-01-01,9851330,148787
Minnesota,2017-01-01,5510902,115623
Mississippi,2017-01-01,2946971,73549
Missouri,2017-01-01,6039877,164957
Montana,2017-01-01,1039170,35456
Nebraska,2017-01-01,1894217,52507
Nevada,2017-01-01,2963456,133074
New Hampshire,2017-01-01,1330742,52893
New Jersey,2017-01-01,8910191,152106
New Mexico,2017-01-01,2062628,57255
New York,2017-01-01,19638923,285252
North Carolina,2017-01-01,10158556,313834
North Dakota,2017-01-01,744641,37315
Ohio,2017-01-01,11520109,198929
Oklahoma,2017-01-01,3875922,101961
Oregon,2017-01-01,4102048,149513
Pennsylvania,2017-01-01,12674642,250120
Rhode Island,2017-01-01,1048549,36850
South Carolina,2017-01-01,4966211,166573
South Dakota,2017-01-01,856726,26106
Tennessee,2017-01-01,6642072,191909
Texas,2017-01-01,27924632,524511
Utah,2017-01-01,3056193,99584
Vermont,2017-01-01,619089,21868
Virginia,2017-01-01,8372522,250490
Washington,2017-01-01,7318811,260787
West Virginia,2017-01-01,1798306,40007
Wisconsin,2017-01-01,5731549,112519
Wyoming,2017-01-01,573483,18511
Puerto Rico,2017-01-01,3313519,20167
Alabama,2018-01-01,4832358,109301
Alaska,2018-01-01,727164,32099
Arizona,2018-01-01,7090137,273714
Arkansas,2018-01-01,2975961,73179
California,2018-01-01,39114889,501023
Colorado,2018-01-01,5633029,239153
Connecticut,2018-01-01,3538203,84718
Delaware,2018-01-01,958770,34451
District of Columbia ,2018-01-01,693798,47555
Florida,2018-01-01,21092877,587261
Georgia,2018-01-01,10410462,274273
Hawaii,2018-01-01,1403653,54074
Idaho,2018-01-01,1734756,79765
Illinois,2018-01-01,12599244,206620
Indiana,2018-01-01,6612948,145256
Iowa,2018-01-01,3119306,74199
Kansas,2018-01-01,2874208,95748
Kentucky,2018-01-01,4414714,110456
Louisiana,2018-01-01,4603081,81355
Maine,2018-01-01,1324095,34706
Maryland,2018-01-01,5974521,163216
Massachusetts,2018-01-01,6834364,144042
Michigan,2018-01-01,9891083,139276
Minnesota,2018-01-01,5543490,100270
Mississippi,2018-01-01,2955717,68000
Missouri,2018-01-01,6053109,152326
Montana,2018-01-01,1051757,43375
Nebraska,2018-01-01,1905843,54579
Nevada,2018-01-01,3003761,127362
New Hampshire,2018-01-01,1344750,48367
New Jersey,2018-01-01,8815804,159846
New Mexico,2018-01-01,2072546,60068
New York,2018-01-01,19329704,254447
North Carolina,2018-01-01,10274540,318681
North Dakota,2018-01-01,749825,33735
Ohio,2018-01-01,11555163,198026
Oklahoma,2018-01-01,3895983,106943
Oregon,2018-01-01,4152756,140627
Pennsylvania,2018-01-01,12674699,253520
Rhode Island,2018-01-01,1047975,32841
South Carolina,2018-01-01,5029034,186505
South Dakota,2018-01-01,871271,26775
Tennessee,2018-01-01,6692936,209377
Texas,2018-01-01,28333482,563945
Utah,2018-01-01,3114717,100824
Vermont,2018-01-01,621681,26306
Virginia,2018-01-01,8424340,274003
Washington,2018-01-01,7453439,260906
West Virginia,2018-01-01,1787630,43841
Wisconsin,2018-01-01,5751525,114613
Wyoming,2018-01-01,570867,25734
Puerto Rico,2018-01-01,3173956,20900
Alabama,2019-01-01,4849509,104780
Alaska,2019-01-01,722063,34031
Arizona,2019-01-01,7200620,253295
Arkansas,2019-01-01,2989054,59723
California,2019-01-01,39084048,480204
Colorado,2019-01-01,5701658,240600
Connecticut,2019-01-01,3531986,90044
Delaware,2019-01-01,964817,38014
District of Columbia ,2019-01-01,697556,58879
Florida,2019-01-01,21269409,601611
Georgia,2019-01-01,10499808,284541
Hawaii,2019-01-01,1396819,49708
Idaho,2019-01-01,1764327,78730
Illinois,2019-01-01,12536539,190627
Indiana,2019-01-01,6656971,151443
Iowa,2019-01-01,3121385,72651
Kansas,2019-01-01,2879518,94648
Kentucky,2019-01-01,4421512,100057
Louisiana,2019-01-01,4595111,67640
Maine,2019-01-01,1331656,36129
Maryland,2019-01-01,5979602,141766
Massachusetts,2019-01-01,6828110,144079
Michigan,2019-01-01,9880758,132008
Minnesota,2019-01-01,5575235,106920
Mississippi,2019-01-01,2943737,61683
Missouri,2019-01-01,6069697,152345
Montana,2019-01-01,1056994,40862
Nebraska,2019-01-01,1910711,46064
Nevada,2019-01-01,3048602,132950
New Hampshire,2019-01-01,1350155,50288
New Jersey,2019-01-01,8791672,149260
New Mexico,2019-01-01,2073628,55545
New York,2019-01-01,19240920,254806
North Carolina,2019-01-01,10371906,315215
North Dakota,2019-01-01,750501,36668
Ohio,2019-01-01,11556037,205542
Oklahoma,2019-01-01,3907258,101844
Oregon,2019-01-01,4178578,129921
Pennsylvania,2019-01-01,12670245,267465
Rhode Island,2019-01-01,1050602,34984
South Carolina,2019-01-01,5092727,176008
South Dakota,2019-01-01,872708,26934
Tennessee,2019-01-01,6754461,196765
Texas,2019-01-01,28642658,559661
Utah,2019-01-01,3162102,95608
Vermont,2019-01-01,617560,21212
Virginia,2019-01-01,8439982,264855
Washington,2019-01-01,7527366,231956
West Virginia,2019-01-01,1773280,39548
Wisconsin,2019-01-01,5760481,107973
Wyoming,2019-01-01,572884,30247
Puerto Rico,2019-01-01,3175835,31144
Alabama,2010-01-01,4729509,108723
Alaska,2010-01-01,702974,36326
Arizona,2010-01-01,6332786,222725
Arkansas,2010-01-01,2888304,79127
California,2010-01-01,36907897,444749
Colorado,2010-01-01,4988190,186366
Connecticut,2010-01-01,3541146,77333
Delaware,2010-01-01,889812,30759
District of Columbia ,2010-01-01,596747,51244
Florida,2010-01-01,18647600,482889
Georgia,2010-01-01,9587237,249459
Hawaii,2010-01-01,1346274,53581
Idaho,2010-01-01,1550967,55638
Illinois,2010-01-01,12680126,203959
Indiana,2010-01-01,6414862,127353
Iowa,2010-01-01,3013053,72557
Kansas,2010-01-01,2820894,95059
Kentucky,2010-01-01,4296639,118443
Louisiana,2010-01-01,4483529,97889
Maine,2010-01-01,1313902,27758
Maryland,2010-01-01,5716785,164484
Massachusetts,2010-01-01,6489250,140162
Michigan,2010-01-01,9762127,116149
Minnesota,2010-01-01,5244256,89872
Mississippi,2010-01-01,2931228,72321
Missouri,2010-01-01,5920858,145226
Montana,2010-01-01,978507,35630
Nebraska,2010-01-01,1802697,51290
Nevada,2010-01-01,2667364,102677
New Hampshire,2010-01-01,1303865,39367
New Jersey,2010-01-01,8709933,127369
New Mexico,2010-01-01,2039549,73605
New York,2010-01-01,19171916,269427
North Carolina,2010-01-01,9443000,263256
North Dakota,2010-01-01,665654,30100
Ohio,2010-01-01,11405101,172633
Oklahoma,2010-01-01,3716264,106511
Oregon,2010-01-01,3794008,116700
Pennsylvania,2010-01-01,12577555,235580
Rhode Island,2010-01-01,1042240,32059
South Carolina,2010-01-01,4577399,152441
South Dakota,2010-01-01,805616,25777
Tennessee,2010-01-01,6282706,159778
Texas,2010-01-01,24899075,486558
Utah,2010-01-01,2724064,77780
Vermont,2010-01-01,619363,22529
Virginia,2010-01-01,7930773,259507
Washington,2010-01-01,6661321,191784
West Virginia,2010-01-01,1833535,39609
Wisconsin,2010-01-01,5623196,93065
Wyoming,2010-01-01,556954,28046
Puerto Rico,2010-01-01,3676493,31732
Alabama,2011-01-01,4745278,117726
