year,state,median_sale_price,homes_sold
2017-09-01,Florida,164500,5329
2021-09-01,Missouri,181900,153
2015-02-01,Alaska,257300,407
2017-08-01,Columbia,411000,366
2014-01-01,Ohio,103200,5777
2015-12-01,Maryland,312300,4090
2020-07-01,Maine,256400,2262
2017-04-01,Mississippi,160900,1087
2012-10-01,Alabama,154100,231
2013-03-01,New Hampshire,168200,41
2020-06-01,Pennsylvania,168500,170
2016-05-01,Wisconsin,126700,317
2020-02-01,South Carolina,242900,4370
2018-07-01,Tennessee,246200,7556
2018-10-01,Washington,334200,870
2019-06-01,Columbia,834500,18
2012-08-01,Alaska,257500,712
2012-12-01,Wisconsin,103000,5
2012-05-01,Kentucky,125800,30
2016-06-01,New Mexico,321800,262
2014-07-01,Delaware,112000,41
2018-03-01,New Mexico,352600,247
2018-02-01,Georgia,195700,559
2019-05-01,Maine,228400,77
2013-04-01,Nevada,140700,44
2013-10-01,Louisiana,169000,1926
2016-07-01,New Hampshire,255800,1841
2018-07-01,New Jersey,337400,9652
2021-02-01,West Virginia,239900,318
2021-10-01,Hawaii,689700,1588
2021-08-01,South Dakota,285500,439
2017-08-01,Vermont,194600,26
2018-03-01,Louisiana,175400,42
2018-10-01,North Carolina,169800,238
2015-03-01,Arkansas,101900,10
2013-12-01,Maryland,113600,18
2012-11-01,Massachusetts,300000,4106
2019-06-01,Utah,255700,395
2017-05-01,Texas,246100,26058
2017-08-01,Nevada,183000,297
2016-09-01,Maine,194900,1880
2019-04-01,Nevada,162900,580
2017-05-01,New Jersey,275700,554
2018-12-01,Illinois,203500,6702
2020-09-01,Florida,293100,39222
2014-11-01,New Mexico,293000,176
2014-05-01,Massachusetts,341800,6725
2016-08-01,Kentucky,119600,53
2014-04-01,Kentucky,139400,2497
2020-03-01,Delaware,238500,813
2018-07-01,Virginia,251000,1229
2015-01-01,New York,241700,307
2018-01-01,Utah,253600,361
2013-12-01,Nevada,178800,3759
2019-12-01,Kansas,141800,18
2015-09-01,North Carolina,169200,33
2018-05-01,Texas,262000,249
2017-10-01,New Mexico,308300,9
2012-07-01,Missouri,130400,42
2017-12-01,Idaho,195000,35
2021-10-01,Nebraska,255600,108
2018-12-01,Washington,404600,123
2017-11-01,Kansas,168400,88
2016-12-01,Kentucky,127100,204
2012-07-01,Ohio,111600,965
2015-01-01,Vermont,11000,1
2015-06-01,Arizona,124500,757
2020-01-01,Kentucky,136800,44
2013-09-01,Washington,291200,97
2019-12-01,Alaska,294700,457
2016-08-01,Virginia,305500,11373
2015-09-01,West Virginia,176100,313
2012-05-01,Oregon,191000,150
2018-05-01,Virginia,252500,1309
2018-11-01,Kansas,184500,67
2022-05-01,Missouri,253300,6480
2016-11-01,Arkansas,154300,2053
2020-01-01,Arkansas,157000,23
2016-12-01,South Dakota,97500,4
2017-05-01,Virginia,339100,2209
2015-04-01,New Hampshire,224400,1057
2018-08-01,New Mexico,369000,313
2017-05-01,Connecticut,256100,4576
2015-01-01,Alabama,229900,109
2015-12-01,New York,120800,441
2018-04-01,Connecticut,178600,737
2014-01-01,Texas,139900,626
2012-11-01,Utah,201800,207
2019-05-01,Minnesota,264800,8202
2013-01-01,Georgia,64500,35
2020-03-01,Hawaii,672700,652
2021-12-01,Florida,280900,9414
2020-08-01,South Carolina,389200,14
2015-03-01,Texas,204500,20969
2014-10-01,Utah,235100,3469
2021-04-01,Illinois,273000,16427
2017-01-01,Michigan,84200,138
2012-06-01,Connecticut,123100,80
2015-04-01,Massachusetts,335300,3125
2012-06-01,Florida,160800,16294
2015-10-01,Hawaii,362200,601
2012-03-01,Iowa,137100,721
2016-02-01,North Carolina,139000,204
2022-02-01,Hawaii,555100,725
2021-06-01,Nebraska,259500,1959
2014-09-01,Kentucky,155300,41
2022-03-01,Nevada,334100,435
